KodeName;Klasse
NA F2-7;Type
NA F2-8;Type
NA F2-9;Type
NA F2-C-1;Type
NA F2-C-10;Type
NA F2-C-11;Type
NA F2-C-12;Type
NA F2-C-13;Type
NA F2-C-14;Type
NA F2-C-15;Type
NA F2-C-16;Type
NA F2-C-17;Type
NA F2-C-18;Type
NA F2-C-2;Type
NA F2-C-3;Type
NA F2-C-4;Type
NA F2-C-5;Type
NA F2-C-6;Type
NA F2-C-7;Type
NA F2-C-8;Type
NA F2-C-9;Type
NA F2-E-1;Type
NA F2-E-10;Type
NA F2-E-11;Type
NA F2-E-12;Type
NA F2-E-13;Type
NA F2-E-14;Type
NA F2-E-15;Type
NA F2-E-16;Type
NA F2-E-17;Type
NA F2-E-18;Type
NA F2-E-2;Type
NA F2-E-3;Type
NA F2-E-4;Type
NA F2-E-5;Type
NA F2-E-6;Type
NA F2-E-7;Type
NA F2-E-8;Type
NA F2-E-9;Type
NA F3;Type
NA F3-1;Type
NA F3-2;Type
NA F3-3;Type
NA F3-4;Type
NA F3-5;Type
NA F3-6;Type
NA F3-C-1;Type
NA F3-C-2;Type
NA F3-C-3;Type
NA F3-C-4;Type
NA F3-C-5;Type
NA F3-C-6;Type
NA F3-E-1;Type
NA F3-E-2;Type
NA F3-E-3;Type
NA F3-E-4;Type
NA F3-E-5;Type
NA F3-E-6;Type
NA F4;Type
NA F4-1;Type
NA F4-10;Type
NA F4-11;Type
NA F4-12;Type
NA F4-13;Type
NA F4-14;Type
NA F4-15;Type
NA F4-16;Type
NA F4-17;Type
NA F4-2;Type
NA F4-3;Type
NA F4-4;Type
NA F4-5;Type
NA F4-6;Type
NA F4-7;Type
NA F4-8;Type
NA F4-9;Type
NA F4-C-1;Type
NA F4-C-10;Type
NA F4-C-11;Type
NA F4-C-12;Type
NA F4-C-13;Type
NA F4-C-14;Type
NA F4-C-15;Type
NA F4-C-16;Type
NA F4-C-17;Type
NA F4-C-2;Type
NA F4-C-3;Type
NA F4-C-4;Type
NA F4-C-5;Type
NA F4-C-6;Type
NA F4-C-7;Type
NA F4-C-8;Type
NA F4-C-9;Type
NA F4-E-1;Type
NA F4-E-10;Type
NA F4-E-11;Type
NA F4-E-12;Type
NA F4-E-13;Type
NA F4-E-14;Type
NA F4-E-15;Type
NA F4-E-16;Type
NA F4-E-2;Type
NA F4-E-3;Type
NA F4-E-4;Type
NA F4-E-5;Type
NA F4-E-6;Type
NA F4-E-7;Type
NA F4-E-8;Type
NA F4-E-9;Type
NA F5;Type
NA F5-1;Type
NA F5-2;Type
NA F5-3;Type
NA F5-C-1;Type
NA F5-C-2;Type
NA F5-C-3;Type
NA F5-E-1;Type
NA F5-E-2;Type
NA F5-E-3;Type
NA F6;Type
NA F6-1;Type
NA F6-C-1;Type
NA F6-E-1;Type
NA F7;Type
NA F7-1;Type
NA F7-2;Type
NA F7-3;Type
NA F7-4;Type
NA F7-5;Type
NA F7-6;Type
NA F7-C-1;Type
NA F7-C-2;Type
NA F7-C-3;Type
NA F7-C-4;Type
NA F7-C-5;Type
NA F7-C-6;Type
NA F7-E-1;Type
NA F7-E-2;Type
NA F7-E-3;Type
NA F7-E-4;Type
NA F7-E-5;Type
NA F7-E-6;Type
NA F8;Type
NA F8-1;Type
NA F8-2;Type
NA F8-C-1;Type
NA F8-C-2;Type
NA F8-E-1;Type
NA F8-E-2;Type
NA F9;Type
NA F9-1;Type
NA F9-2;Type
NA F9-3;Type
NA F9-4;Type
NA F9-5;Type
NA F9-6;Type
NA F9-7;Type
NA F9-8;Type
NA F9-C-1;Type
NA F9-C-2;Type
NA F9-C-3;Type
NA F9-C-4;Type
NA F9-C-5;Type
NA F9-C-6;Type
NA F9-C-7;Type
NA F9-C-8;Type
NA F9-E-1;Type
NA F9-E-2;Type
NA F9-E-3;Type
NA F9-E-4;Type
NA F9-E-5;Type
NA F9-E-6;Type
NA F9-E-7;Type
NA F9-E-8;Type
NA H;Type
NA H1;Type
NA H1-1;Type
NA H1-2;Type
NA H1-3;Type
NA H1-4;Type
NA H1-5;Type
NA H2;Type
NA H2-1;Type
NA H2-2;Type
NA H2-3;Type
NA H2-4;Type
NA H2-5;Type
