7 HTG;8 Pk;9 HT;Definisjonsgrunnlag;HTKode
S;C;05;TH_d;S-C-05
S;C;06;HV_E, PI_AB, DL_e(‒) ;S-C-06
S;C;07;TH_d, IT_A;S-C-07
S;M;01;[K];S-M-01
S;M;02;[K];S-M-02
S;M;03;[K];S-M-03
F;A;01;[N, HY_A] ;F-A-01
F;A;02;[N, HY_B] ;F-A-02
F;B;01;[NS, HY_A] ;F-B-01
F;B;02;[NS, HY_B] ;F-B-02
F;B;03;[NS, UK] ;F-B-03
F;C;01;TU_a;F-C-01
F;C;02;GS_b ;F-C-02
F;C;03;NG_b ;F-C-03
F;C;04;OM_b ;F-C-04
F;C;05;IT_A;F-C-05
F;M;01;[UK];F-M-01
F;M;02;[UK] ;F-M-02
F;M;03;[UK] ;F-M-03
F;M;04;[UK] ;F-M-04
F;M;05;[UK] ;F-M-05
0;C;01;"JV & kI; OB2[O4]; TA3 [T3]";0-C-01
0;C;02;"kI; OB1[O3]; OA2 [O3]";0-C-02
0;C;03;"kI; Ob1[O2] & VC4 [V4 pp]; TB1 [T4] / (TA3 [T3] evt også VC5 [V6]B";0-C-03
0;C;04;"KI; VC3 [V4] & VA1 [V1]";0-C-04
0;C;05;"KI; VC4 [V4 pp]; TB1 [T4] / (TA3 [T3] evt også VC5 [V6])";0-C-05
0;C;06;"NG; TC6 [T8]; TA1 [T1]";0-C-06
0;C;07;"SF; TC4 [T11]; TC5 [T12], evt. også MB3 [M8]";0-C-07
0;C;08;"SV; TC8 [T7]; TA1 [T1] / TF1 [T25 etc.] / VC5 [V6]";0-C-08
0;D;01;"FU; TD2 [T13 pp.]; OA2 [O2]";0-D-01
0;D;02;"RU; TD1 [T13]; TD3 [T16] / (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])";0-D-02
0;D;03;"VS; RD4 [T15]; TA1 [T1] / (TB1 [T4] / TA3 [T3])";0-D-03
0;E;01;"SS; TE1 [T21]; TB1 [T4], evt. også TC3 [sandforstrand] og TF01 [sand- og dyneskogsmark]";0-E-01
0;E;02;"SU; TE4 [T19]; (TB1 [T4] / TA3 [T3], evt. også LF1 [L11] el. OF1 [O5])";0-E-02
0;E;03;"VF; TE3 [T18]; TE8 [T18 pp.] / TG1 [T30]";0-E-03
