GTKode;forrigekode;FP;SP;Klasse
M-A-06-12;M5-22;4;4;GT
M-A-06-13;M5-23;2;4;GT
M-A-06-14;M5-23;1;4;GT
M-A-06-15;M5-21,24;4;4;GT
M-A-06-16;M5-27,33;3;4;GT
M-A-06-17;M5-29,35;3;4;GT
M-A-06-18;M5-27,29,30,33,35,36;1;4;GT
M-A-06-19;M5-27,29,30,33,35,36;1;4;GT
M-A-06-20;M5-28,30;3;4;GT
M-A-06-26;Ms-8;4;4;GT
M-A-06-27;M5-9,18,26,32;4;4;GT
M-A-06-28;M5-10,19;4;4;GT
M-A-06-29;M5-7,17;4;4;GT
M-A-06-30;M5-6,16,25,31,37;4;4;GT
M-A-06-31;M5-34,36;4;4;GT
M-B-01-01;M8-1;1;4;GT
M-B-01-02;M8-1;1;4;GT
M-B-01-03;M8-1;1;4;GT
M-B-01-04;M8-1;0;4;GT
M-B-01-05;M8-1;1;4;GT
M-B-02-01;M7-3;4;4;GT
M-B-02-02;M7-4;4;4;GT
M-B-03-01;M6-1;4;4;GT
M-B-03-02;M6-2;4;4;GT
M-C-01-01;M3-11;4;4;GT
M-C-01-02;M3-12;4;4;GT
M-C-01-03;M3-13;4;4;GT
M-C-01-04;M3-18;4;4;GT
M-C-01-05;M3-10;0;4;GT
M-C-02-01;M1-8;4;4;GT
M-C-02-02;M1-9;4;2;GT
M-C-02-03;M1-9;4;2;GT
M-C-02-04;M1-10;4;4;GT
M-C-02-05;M1-12;4;4;GT
M-C-02-07;M1-14;4;4;GT
M-C-02-08;M1-15;4;4;GT
M-C-02-09;M1-20;4;4;GT
M-C-02-10;M1-21;4;4;GT
M-C-02-11;M1-22;4;4;GT
M-C-02-12;M1-23;4;3;GT
M-C-02-13;M1-29;4;4;GT
M-C-03-01;M9-1,4;3;3;GT
M-C-03-02;M9-8,9;3;3;GT
M-C-03-03;M9-2,3,5,6;4;4;GT
M-C-03-04;M9-7;4;4;GT
M-C-04-01;M4-21,25;2;4;GT
M-C-04-02;M4-23;2;4;GT
M-C-04-03;M4-22,24;2;4;GT
M-C-04-04;M4-21,25;1;4;GT
M-C-04-05;M4-23;1;4;GT
M-C-04-06;M4-22,24;1;4;GT
M-C-04-07;M4-27;2;4;GT
M-C-04-08;M4-27;1;4;GT
M-C-04-09;M4-28;4;4;GT
M-C-04-10;M4-44;4;4;GT
M-C-05-01;M10-1;4;4;GT
M-C-05-02;M10-4;4;4;GT
M-C-05-03;M10-2;4;4;GT
M-C-05-04;M10-5;4;4;GT
M-C-05-05;M10-3;4;4;GT
M-C-06-01;M11-1,2,3,4;3;3;GT
M-C-06-02;M11-7;2;4;GT
M-C-06-03;M11-5,6;1;4;GT
M-C-06-04;M11-7;1;4;GT
M-C-06-05;M11-5,6;2;4;GT
M-C-07-01;M12-1,2,3;4;4;GT
M-C-07-02;M12-4,5,6;4;4;GT
M-C-07-03;M12-7;4;4;GT
M-C-08-01;M13-1;4;4;GT
M-C-08-02;M13-3;4;4;GT
M-C-08-03;M13-2;4;4;GT
M-C-08-04;M13-4;4;4;GT
M-C-09-01;I2-1;1;4;GT
M-C-09-02;I2-1;1;4;GT
M-C-10-01;I2-1;1;4;GT
M-F-01-01;M7-1,2;3;4;GT
M-F-01-02;M7-1,2;0;4;GT
M-M-01-01;M14-1;4;4;GT
M-M-01-02;M14-2;4;4;GT
M-M-01-03;M14-3;4;4;GT
M-M-01-04;M15-1,3;2;4;GT
M-M-01-05;M15-2;4;2;GT
M-M-01-06;M15-2;0;4;GT
M-M-02-02;M15-4;4;4;GT
L-A-01-01;L1-1;4;4;GT
L-A-01-02;L1-2;4;4;GT
L-A-01-03;L1-3;4;4;GT
L-A-01-04;L1-4;4;4;GT
L-A-01-05;L1-5;4;4;GT
L-A-01-06;L1-6;4;4;GT
