GTKode;forrigekode;FP;SP;Klasse
T-K-01-23;T32-16,18;1;3;GT
T-K-01-24;T32,18,20;1;3;GT
T-K-01-25;T32-11,12;1;4;GT
T-K-01-26;T32-11,12;2;4;GT
T-K-01-27;T32-21;4;4;GT
T-K-02-01;T33-1;3;4;GT
T-K-02-02;T33-2;3;4;GT
T-K-02-03;T33-1,2;0;4;GT
T-K-03-01;T34-1;4;4;GT
T-K-03-02;T34-4;4;4;GT
T-K-03-03;T34-2,3;4;4;GT
T-K-03-04;T34-5,6;2;4;GT
T-K-03-05;T34-7,8,9,10;4;2;GT
T-K-03-06;T34-11;4;4;GT
T-K-03-07;T34-12;4;4;GT
T-M-01-01;T39-1,2,3,4;4;4;GT
T-M-01-03;T39-7,8;4;4;GT
T-M-02-01;T39-5,6;2;4;GT
T-M-02-02;T39-5,6;1;4;GT
T-M-03-01;T35-1;4;4;GT
T-M-03-02;T35-4;4;4;GT
T-M-03-03;T35-2,3;2;2;GT
T-M-03-04;T37-1;4;4;GT
T-M-03-05;T37-3;1;4;GT
T-M-03-06;T37-3;2;4;GT
T-M-03-07;T37-2;2;4;GT
T-M-03-08;T37-2;1;4;GT
T-M-04-01;T36-3;4;4;GT
T-M-04-02;T36-2;4;4;GT
T-M-05-01;T36-1;1;4;GT
T-M-05-02;T36-1;2;4;GT
T-M-06-01;T38-1;2;3;GT
T-M-06-02;T38-1;2;3;GT
T-M-06-03;T38-1;2;3;GT
T-N-01-01;T42-1;4;4;GT
T-N-02-01;T40-1;4;4;GT
T-N-03-01;T43-1;4;4;GT
T-O-01-01;T44-1;4;4;GT
T-O-02-01;T41-1;4;4;GT
T-O-03-01;T45-1,2;3;3;GT
T-O-03-02;T45-3;1;3;GT
T-O-03-03;T45-3;2;3;GT
T-O-03-04;T45-4;3;3;GT
T-O-04-01;T45-1,2;1;4;GT
T-O-04-02;T45-1,2;0;4;GT
V-A-01-01;V1-1;4;4;GT
V-A-01-02;V1-2;4;4;GT
V-A-01-03;V1-3;4;4;GT
V-A-01-04;V1-4;4;4;GT
V-A-01-05;V1-5;4;4;GT
V-A-01-06;V1-6;4;4;GT
V-A-01-07;V1-7;4;4;GT
V-A-01-08;V1-8;4;4;GT
V-A-01-09;V1-9;4;4;GT
V-A-01-10;V1-10;4;4;GT
V-A-01-11;V1-11;4;4;GT
V-A-01-12;V1-12;4;4;GT
V-A-01-13;V1-13;4;4;GT
V-A-01-14;V1-14;4;4;GT
V-A-01-15;V1-15;4;4;GT
V-A-01-16;V1-16;4;4;GT
V-A-01-17;V1-17;4;4;GT
V-A-01-18;V1-18;4;4;GT
V-A-01-19;V1-19;4;4;GT
V-A-01-20;V1-20;4;4;GT
V-A-01-21;V1-21;4;2;GT
V-A-01-22;V1-22;2;4;GT
V-A-01-23;V1-23;4;2;GT
V-A-01-24;V1-24;2;4;GT
V-A-01-25;V1-25;4;2;GT
V-A-01-26;V1-26;1;4;GT
V-A-01-27;V1-27;4;2;GT
V-A-01-28;V1-28;4;3;GT
V-A-01-29;V1-29;1;4;GT
V-A-01-30;V1-30;4;4;GT
V-A-01-31;V1-31;4;4;GT
V-A-01-32;V1-32;4;4;GT
V-B-01-01;V2-1;4;2;GT
V-B-01-02;V2-2;2;4;GT
V-B-01-03;V2-3;4;2;GT
V-B-01-04;V2-4;2;4;GT
V-B-01-05;V2-5;4;2;GT
V-B-01-06;V2-6;1;4;GT
V-B-01-07;V2-7;4;2;GT
V-B-01-08;V2-8;1;4;GT
V-B-01-09;V2-9;4;4;GT
V-B-01-10;V2-10;4;4;GT
V-C-01-01;V3-1;4;4;GT
V-C-01-02;V3-2;4;4;GT
V-C-01-03;V3-3;4;4;GT
V-C-01-04;V3-4;4;4;GT
V-C-01-05;V3-5;4;4;GT
V-C-01-07;V3-7;4;4;GT
V-C-02-02;V4-6;4;4;GT
V-C-02-03;V4-8;4;4;GT
V-C-02-04;V4-7;4;4;GT
V-C-02-05;V4-9;4;4;GT
V-C-03-01;V4-1;4;4;GT
V-C-03-02;V4-2;4;4;GT
V-C-03-03;V4-3;4;4;GT
V-C-03-04;V4-4;4;4;GT
V-C-03-05;V4-5;4;4;GT
V-C-04-03;V6-1;4;4;GT
V-C-04-04;V6-2;4;4;GT
V-C-04-07;V6-3;4;4;GT
V-C-04-08;V6-4;4;4;GT
V-C-04-09;V6-7;4;4;GT
V-C-04-10;V6-8;4;4;GT
V-C-04-11;V6-5;4;4;GT
V-C-04-12;V6-6;4;4;GT
V-C-04-13;V6-9;2;4;GT
V-C-04-14;V6-9;1;4;GT
V-C-05-01;V7-1,2;1;3;GT
V-C-05-02;V7-1,2;1;3;GT
V-F-01-01;V3-6;2;4;GT
V-F-02-01;V8-1;4;2;GT
V-F-02-02;V8-2;2;4;GT
V-F-02-03;V8-3;4;4;GT
V-K-01-01;V9-1;2;4;GT
V-K-01-02;V9-2;2;4;GT
V-K-01-03;V9-3;3;4;GT
V-K-02-01;V10-1;2;4;GT
V-K-02-02;V10-1,2;1;4;GT
V-K-02-03;V10-2;2;4;GT
V-K-02-04;V10-3;4;4;GT
V-M-01-01;V12-1;1;4;GT
V-M-01-02;V12-2;1;4;GT
V-M-01-03;V12-2;1;4;GT
V-M-01-04;V12-3;2;4;GT
V-M-01-05;V11-1,2;2;4;GT
V-M-01-06;V11-1,2;1;4;GT
V-M-02-01;V13-8;4;4;GT
V-M-03-01;V13-2,4,6;4;4;GT
V-M-04-01;V12;1;4;GT
V-M-04-02;V11;1;4;GT
V-M-05-01;V13-7;4;4;GT
V-M-06-01;V13-1,3,5;4;4;GT
V-O-01-01;V9;0;4;GT
I-A-01-01;I1-1;2;4;GT
I-A-01-02;I1-1;1;4;GT
I-A-01-03;I1-1;0;4;GT
I-A-01-04;I2-1;4;4;GT
S-A-01-01;H1-1,5;1;2;GT
S-A-01-02;H1-1,5;2;2;GT
S-C-01-01;H1-2;3;3;GT
S-C-01-02;H1-3,4;4;4;GT
S-C-02-01;H2-1;0;2;GT
S-C-02-02;H2-1;0;2;GT
S-C-02-03;H2-1;0;2;GT
S-C-02-04;H2-1;0;2;GT
S-C-02-05;H2-1;0;2;GT
S-C-03-01;H2-1;0;1;GT
S-C-04-01;H2-1;0;4;GT
S-C-04-02;H3-1;4;4;GT
S-C-05-01;H2-2,3,7,8;4;4;GT
S-C-05-01;H2-4,5,6;4;4;GT
S-C-06-01;H1-1,5;0;4;GT
S-C-06-02;H1-1,5;1;4;GT
S-M-01-01;H4-4;4;4;GT
S-M-02-01;H4-1;4;4;GT
S-M-03-01;H4-2;4;3;GT
F-A-01-01;F3-1;4;4;GT
F-A-01-02;F3-2;4;4;GT
F-A-01-03;F3-3;4;4;GT
F-A-01-04;F3-4;4;4;GT
F-A-01-05;F3-5;4;4;GT
F-A-01-06;F3-6;4;4;GT
F-A-02-01;F4-1;4;4;GT
F-A-02-02;F4-2;4;4;GT
F-A-02-03;F4-9;4;4;GT
F-A-02-04;F4-10;4;4;GT
F-A-02-05;F4-3;4;4;GT
F-A-02-06;F4-4;4;4;GT
F-A-02-07;F4-11;4;4;GT
F-A-02-08;F4-12;4;4;GT
F-A-02-09;F4-5;4;4;GT
F-A-02-10;F4-6;4;4;GT
F-A-02-11;F4-13;4;4;GT
F-A-02-12;F4-14;4;4;GT
F-A-02-13;F4-7;4;4;GT
F-A-02-14;F4-8;4;4;GT
F-A-02-15;F4-15;4;4;GT
F-A-02-16;F4-16;4;4;GT
F-A-02-17;F4-17;4;4;GT
F-B-01-01;F1-1;4;4;GT
F-B-01-02;F1-2;4;4;GT
F-B-01-03;F1-3;4;4;GT
F-B-01-04;F1-4;4;4;GT
F-B-01-05;F1-5;4;4;GT
F-B-01-06;F1-6;4;4;GT
F-B-01-07;F1-7;4;4;GT
F-B-01-08;F1-8;4;4;GT
F-B-01-09;F1-9;4;4;GT
F-B-01-10;F1-10;4;4;GT
F-B-01-11;F1-11;4;4;GT
F-B-01-12;F1-12;4;4;GT
F-B-01-13;F1-13;4;4;GT
F-B-01-14;F1-14;4;4;GT
F-B-01-15;F1-15;4;4;GT
F-B-01-16;F1-16;4;4;GT
F-B-01-17;F1-17;4;4;GT
F-B-01-18;F1-18;4;4;GT
F-B-02-01;F2-1;4;4;GT
F-B-02-02;F2-2;4;4;GT
F-B-02-03;F2-3;4;4;GT
F-B-02-04;F2-4;4;4;GT
F-B-02-05;F2-5;4;4;GT
F-B-02-06;F2-6;4;4;GT
F-B-02-07;F2-7;4;4;GT
F-B-02-08;F2-8;4;4;GT
F-B-02-09;F2-9;4;4;GT
F-B-02-10;F2-10;4;4;GT
F-B-02-11;F2-11;4;4;GT
F-B-02-12;F2-12;4;4;GT
F-B-02-13;F2-13;4;4;GT
F-B-02-14;F2-14;4;4;GT
F-B-02-15;F2-15;4;4;GT
F-B-02-16;F2-16;4;4;GT
F-B-02-17;F2-17;4;4;GT
F-B-02-18;F2-18;4;4;GT
F-B-03-01;F8-1;4;4;GT
F-B-03-01;F8-2;4;4;GT
F-C-01-01;F5-1;4;4;GT
F-C-01-02;F5-2;4;4;GT
F-C-01-03;F5-3;4;4;GT
F-C-02-01;F6-1;4;4;GT
F-C-04-01;F7-1;4;4;GT
F-C-04-02;F7-2;4;4;GT
F-C-04-03;F7-3;4;4;GT
F-C-04-04;F7-4;4;4;GT
F-C-04-05;F7-5;4;4;GT
F-C-04-06;F7-6;4;4;GT
F-M-01-01;F9-1;4;4;GT
F-M-01-02;F9-2;4;4;GT
F-M-01-03;F9-3;4;4;GT
F-M-01-04;F9-4;4;4;GT
F-M-01-05;F9-5;4;4;GT
F-M-01-06;F9-6;4;4;GT
F-M-01-07;F9-7;4;4;GT
F-M-01-08;F9-8;4;4;GT
F-M-02-01;F10-1;4;4;GT
F-M-02-02;F10-2;4;4;GT
F-M-02-03;F10-3;4;4;GT
F-M-02-04;F10-4;4;4;GT
F-M-03-01;F11-1;4;4;GT
F-M-03-02;F11-2;4;4;GT
F-M-04-01;F12-1;4;4;GT
F-M-05-01;F13-1;4;4;GT
F-M-05-02;F13-2;4;4;GT
