NiN 2 kode;FP;SP;TKode;HTGKode;HTKode;GTKode
T11-2, T21-1;1;4;C-PE-NA;NA-T;T-C-03;T-C-03-04
T29-8;4;4;C-PE-NA;NA-T;T-C-03;T-C-03-05
T29-3,4;3;4;C-PE-NA;NA-T;T-C-03;T-C-03-06
T29-7;4;4;C-PE-NA;NA-T;T-C-03;T-C-03-07
T29-1,2;4;4;C-PE-NA;NA-T;T-C-03;T-C-03-08
T29-5,6,9;4;4;C-PE-NA;NA-T;T-C-03;T-C-03-09
T29-5,6,9;0;4;C-PE-NA;NA-T;T-C-03;T-C-03-10
ny ;-;;C-PE-NA;NA-T;T-C-03;T-C-03-11
T11;2;2;C-PE-NA;NA-T;T-C-04;T-C-04-0
T11-3;3;3;C-PE-NA;NA-T;T-C-04;T-C-04-01
ny ;-;;C-PE-NA;NA-T;T-C-04;T-C-04-02
T12;4;4;C-PE-NA;NA-T;T-C-05;T-C-05-0
T12-1;4;4;C-PE-NA;NA-T;T-C-05;T-C-05-01
T12-2;4;4;C-PE-NA;NA-T;T-C-05;T-C-05-02
T12-3;4;4;C-PE-NA;NA-T;T-C-05;T-C-05-03
T12-4;4;4;C-PE-NA;NA-T;T-C-05;T-C-05-04
ny ;-;;C-PE-NA;NA-T;T-C-05;T-C-05-05
ny ;-;;C-PE-NA;NA-T;T-C-05;T-C-05-06
T8;3;4;C-PE-NA;NA-T;T-C-06;T-C-06-0
T8-1;4;4;C-PE-NA;NA-T;T-C-06;T-C-06-01
T8-2;4;4;C-PE-NA;NA-T;T-C-06;T-C-06-02
T8-3;4;4;C-PE-NA;NA-T;T-C-06;T-C-06-03
T8-4;4;4;C-PE-NA;NA-T;T-C-06;T-C-06-04
T8-5;4;4;C-PE-NA;NA-T;T-C-07;T-C-07-0
T8-5;4;4;C-PE-NA;NA-T;T-C-07;T-C-07-01
T7;4;4;C-PE-NA;NA-T;T-C-08;T-C-08-0
T7-1,2;4;4;C-PE-NA;NA-T;T-C-08;T-C-08-01
T7-3;4;2;C-PE-NA;NA-T;T-C-08;T-C-08-02
T7-8;4;2;C-PE-NA;NA-T;T-C-08;T-C-08-03
T7-4;2;4;C-PE-NA;NA-T;T-C-08;T-C-08-04
T7-4;3;2;C-PE-NA;NA-T;T-C-08;T-C-08-05
T7-9;4;2;C-PE-NA;NA-T;T-C-08;T-C-08-06
T7-5;4;3;C-PE-NA;NA-T;T-C-08;T-C-08-07
T7-10;2;4;C-PE-NA;NA-T;T-C-08;T-C-08-08
T7-11;4;4;C-PE-NA;NA-T;T-C-08;T-C-08-09
T7-12;4;2;C-PE-NA;NA-T;T-C-08;T-C-08-10
T7-14;4;2;C-PE-NA;NA-T;T-C-08;T-C-08-11
T13;4;4;C-PE-NA;NA-T;T-D-01;T-D-01-0
T13-3,18;3;1;C-PE-NA;NA-T;T-D-01;T-D-01-01
T13-6,18;3;1;C-PE-NA;NA-T;T-D-01;T-D-01-02
T13-9,18;3;1;C-PE-NA;NA-T;T-D-01;T-D-01-03
T13-3,17;3;2;C-PE-NA;NA-T;T-D-01;T-D-01-04
T13-6,17;2;2;C-PE-NA;NA-T;T-D-01;T-D-01-05
T13-9,17;2;2;C-PE-NA;NA-T;T-D-01;T-D-01-06
